BldgType,2013,2014
Adult Education,1051613.3,816231.9
College/University,3508766.4,3258085.7
Data Center,2272924.8,2237990.3
Fire Station,17732033.2,20683025.5
Hospital (General Medical & Surgical),0,0
Laboratory,8097030.9,8448001.2
Manufacturing/Industrial Plant,26505.3,24769.7
Mixed Use Property,3.34E+07,3.35E+07
Multifamily Housing,574408,690648
Museum,87040,0
Non-Refrigerated Warehouse,2117735.3,1965507.4
Office,352876218.3,351571566.5
Other,104809662.6,91566691.3
Other - Education,768362.1,770506.8
Other - Entertainment/Public Assembly,20600096.4,2.26E+07
Other - Lodging/Residential,31718.3,10349.6
Other - Public Services,3698307.4,3313443
Other - Recreation,727356.6,468615.4
Other - Services,6036601,6644694.3
Other - Specialty Hospital,32389921.1,9524798.3
Other - Technology/Science,4130379.8,4330434.1
Other - Utility,6107767.3,6062563.1
Outpatient Rehabilitation/Physical Therapy,17541767.5,16452451.4
Parking,19936.7,21799.5
Prison/Incarceration,5.47E+08,5.12E+08
"Repair Services (Vehicle, Shoe, Locksmith, etc.)",2949534.9,3093501.9
Self-Storage Facility,55099.9,58174.8
Senior Care Community,35932889.8,39238402.8
Single Family Home,72500.6,54282.8
