Building,2013,2014
ASP-AVENAL STATE PRISON,5337078.2,5090060.5
CAL-CALIPATRIA STATE PRISON,2.86E+07,2.91E+07
CCC-CALIFORNIA CORRECTIONAL CENTER,1.34E+07,1.27E+07
CCI-CALIFORNIA CORRECTIONAL INSTITUTION,1.33E+07,1.17E+07
CCWF-CENTRAL CALIFORNIA WOMEN'S FACILITY,1.65E+07,1.06E+07
CEN-CENTINELA STATE PRISON,27056278,2.91E+07
"CHCF-CALIFORNIA HEALTH CARE FACILITY, STOCKTON",9903650.9,1.79E+07
CIM-CALIFORNIA INSTITUTION FOR MEN,4176090.3,1769878.8
CIW-CALIFORNIA INSTITUTION FOR WOMEN,7887183.5,8137741.7
CMC-CALIFORNIA MEN'S COLONY,15155111,1.51E+07
CMF-CALIFORNIA MEDICAL FACILITY,1.35E+07,13732671
"COR-CALIFORNIA STATE PRISON, CORCORAN",5.56E+07,4.40E+07
CRC-CALIFORNIA REHABILITATION CENTER,7522192.6,7334803.8
CTC-RICHARD A. MCGEE CORRECTIONAL TRAINING CENTER,2066189.4,2549951.1
CTF-CORRECTIONAL TRAINING FACILITY,1.30E+07,9989340.6
CVSP-CHUCKAWALLA VALLEY STATE PRISON,1.28E+07,1.39E+07
DVI-DEUEL VOCATIONAL INSTITUTION,1.98E+07,0
ECF-ESTRELLA CORRECTIONAL FACILITY (AKA-EPDRYCF),841908.9,858924.1
FCNYCF-FRED C. NELLES YOUTH CORRECTIONAL FACILITY,0,0
FSP-FOLSOM STATE PRISON,3.52E+07,3.14E+07
FWF- FOLSOM WOMEN'S FACILITY,1171025.4,
HDSP-HIGH DESERT STATE PRISON,2.56E+07,2.58E+07
HGSYCF-HEMAN G. STARK YOUTH CORRECTIONAL FACILITY,817474,790793.5
ISP-IRONWOOD STATE PRISON,1.52E+07,1.51E+07
KVSP-KERN VALLEY STATE PRISON,103038.2,112772.9
"LAC- CALIFORNIA STATE PRISON, LOS ANGELES COUNTY",1.36E+07,1.34E+07
"MCSP-MULE CREEK STATE PRISON, IONE",1.84E+07,1.78E+07
NACYF-N.A. CHADERJIAN YOUTH CORRECTIONAL FACILITY(NCYCC),4803461.1,0
NKSP-NORTH KERN STATE PRISON,2.94E+07,26294984
OHCYCF-O.H. CLOSE YOUTH CORRECTIONAL FACILITY (NCYCC),4853171.4,1.16E+07
PBSP-PELICAN BAY STATE PRISON,1.79E+07,1.75E+07
PVSP-PLEASANT VALLEY STATE PRISON,2.02E+07,1.88E+07
PYCF-PRESTON YOUTH CORRECTIONAL FACILITY,525509.8,512317.5
RJD-RICHARD J. DONOVAN CORRECTIONAL FACILITY,5998915.5,18103099
"SAC-CALIFORNIA STATE PRISON,SACRAMENTO",9944.7,8163.9
SATF-CALIFORNIA SUBSTANCE ABUSE TREATMENT FACILITY,0,0
SCC-SIERRA CONSERVATION CENTER,1.15E+07,12414761
"SOL-CALIFORNIA STATE PRISON, SOLANO",1.96E+07,1.71E+07
SQ-SAN QUENTIN STATE PRISON,13232683,0
SVSP-SALINAS VALLEY STATE PRISON,1.83E+07,1.39E+07
SYCRCC-SOUTHERN YOUTH CORRECTIONAL RECEPTION CENTER  AND CLINIC,511877.8,400176.9
VSP-VALLEY STATE PRISON,0,17174372
VYCF-VENTURA YOUTH CORRECTIONAL FACILITY,3751641.8,3619453.5
WSP-WASCO STATE PRISON (RECEPTION CENTER),2.02E+07,1.64E+07
