Building,2013,2014
ASP-AVENAL STATE PRISON,4.33E+08,394117265
CAL-CALIPATRIA STATE PRISON,1.35E+08,1.32E+08
CCC-CALIFORNIA CORRECTIONAL CENTER,3.19E+08,3.19E+08
CCI-CALIFORNIA CORRECTIONAL INSTITUTION,2.25E+08,2.11E+08
CCWF-CENTRAL CALIFORNIA WOMEN'S FACILITY,1.17E+08,1.09E+08
CEN-CENTINELA STATE PRISON,134674232,1.33E+08
"CHCF-CALIFORNIA HEALTH CARE FACILITY, STOCKTON",9.88E+07,1.21E+08
CIM-CALIFORNIA INSTITUTION FOR MEN,2.73E+08,0
CIW-CALIFORNIA INSTITUTION FOR WOMEN,1.33E+08,1.31E+08
CMC-CALIFORNIA MEN'S COLONY,2.39E+08,2.21E+08
CMF-CALIFORNIA MEDICAL FACILITY,2.77E+08,2.64E+08
"COR-CALIFORNIA STATE PRISON, CORCORAN",374671449,3.63E+08
CRC-CALIFORNIA REHABILITATION CENTER,1.28E+08,1.20E+08
CTC-RICHARD A. MCGEE CORRECTIONAL TRAINING CENTER,1.53E+07,1.80E+07
CTF-CORRECTIONAL TRAINING FACILITY,2.07E+08,1.84E+08
CVSP-CHUCKAWALLA VALLEY STATE PRISON,1.07E+08,104030098
DVI-DEUEL VOCATIONAL INSTITUTION,1.68E+08,0
ECF-ESTRELLA CORRECTIONAL FACILITY (AKA-EPDRYCF),3898393.6,3938349.3
FCNYCF-FRED C. NELLES YOUTH CORRECTIONAL FACILITY,0,0
FSP-FOLSOM STATE PRISON,1.20E+08,1.07E+08
FWF- FOLSOM WOMEN'S FACILITY,9451999.4,
HDSP-HIGH DESERT STATE PRISON,1.06E+08,1.17E+08
HGSYCF-HEMAN G. STARK YOUTH CORRECTIONAL FACILITY,4297021.6,4109287.7
ISP-IRONWOOD STATE PRISON,1.35E+08,1.21E+08
KVSP-KERN VALLEY STATE PRISON,5.32E+07,4.12E+07
"LAC- CALIFORNIA STATE PRISON, LOS ANGELES COUNTY",1.59E+08,1.36E+08
"MCSP-MULE CREEK STATE PRISON, IONE",1.55E+08,1.38E+08
NACYF-N.A. CHADERJIAN YOUTH CORRECTIONAL FACILITY(NCYCC),1.64E+07,0
NKSP-NORTH KERN STATE PRISON,1.92E+08,1.71E+08
OHCYCF-O.H. CLOSE YOUTH CORRECTIONAL FACILITY (NCYCC),6.25E+07,8.16E+07
PBSP-PELICAN BAY STATE PRISON,6.09E+07,5.98E+07
PVSP-PLEASANT VALLEY STATE PRISON,1.35E+08,1.18E+08
PYCF-PRESTON YOUTH CORRECTIONAL FACILITY,1862819.7,1748027.4
RJD-RICHARD J. DONOVAN CORRECTIONAL FACILITY,2.78E+08,1.56E+08
"SAC-CALIFORNIA STATE PRISON,SACRAMENTO",2.67E+08,3.15E+08
SATF-CALIFORNIA SUBSTANCE ABUSE TREATMENT FACILITY,1.01E+08,81950002
SCC-SIERRA CONSERVATION CENTER,3.92E+07,4.24E+07
"SOL-CALIFORNIA STATE PRISON, SOLANO",1.19E+08,1.12E+08
SQ-SAN QUENTIN STATE PRISON,2.32E+08,0
SVSP-SALINAS VALLEY STATE PRISON,1.42E+08,121525468
SYCRCC-SOUTHERN YOUTH CORRECTIONAL RECEPTION CENTER  AND CLINIC,1922781.5,1487661.5
VSP-VALLEY STATE PRISON,0,1.18E+08
VYCF-VENTURA YOUTH CORRECTIONAL FACILITY,44210103,3.74E+07
WSP-WASCO STATE PRISON (RECEPTION CENTER),1.55E+08,143744768
