Building,2013,2014
005 DOT HEADQUARTERS OFFICE BUILDING,4456132.4,4504864.4
007 DISTRICT OFFICE,9710399.1,8241038.1
01 DISTRICT OFFICE,1082253.3,793074.3
01 Materials Lab,0,0
01 Ukiah Equipment Sub-shop,33298.2,62350.3
02 DISTRICT OFFICE,1183439.8,1139195.9
02 Materials Lab,0,0
02 Redding Equipment Shop,0,0
02 Susanville Equipment Sub-shop,0,0
"03 DISTRICT OFFICE (old Complex, now demo'd, hold for history.)",0,0
03 Meyers Equipment Sub-shop,0,0
03 Truckee Equipment Sub-shop,0,0
04 DISTRICT OFFICE,7257045.5,7712870.3
04 Fairfield Equipment Sub-shop,0,0
04 Materials Lab,207906.5,173877.1
04 Oakland Equipment Sub-shop,0,0
04 San Francisco Equipment Sub-shop,0,0
04 San Jose Equipment Sub-shop,0,0
05 DISTRICT OFFICE,535462.1,513884.5
06 DISTRICT OFFICE,1657516.8,623986.6
06 Materials Lab,0,0
07 Commerce Equipment Sub-shop,92936.6,103417.4
07 DISTRICT LAB,0,0
07 Los Angeles Equipment Sub-shop,0,0
08 Barstow Equipment Sub-shop,147369.5,146405
08 DISTRICT OFFICE (SAN BERNARDINO GOV'T CENTER OFFICE BLDG),6415302.1,7034867.7
08 Ind Assurance Bldg,0,0
08 Inland Empire TMC (San Bernardino),1964051,2125793.5
08 Old Materials Lab,7519.8,0
08 Southern Region Lab,906419.3,957937.1
09 Bishop Equipment Shop,0,0
09 DISTRICT OFFICE,865939,902589.9
10 DISTRICT OFFICE,251305.5,320858.3
10 Lab,0,0
10 Stockton Equipment Shop,0,0
11 Archaeology Building,24898.8,21094.8
11 El Centro Sub-shop,0,54384
11 Kearney Mesa Lab,0,0
11 Office (Old),0,0
11 San Diego Equipment Shop,235558.5,101915
11 San Diego TMC,1660657.2,1639424
12 Orange Equipment Shop,1498.7,1496.1
12th Ave Hwy Maint Storage Satellite,316,318.7
12TH STREET MAINTENANCE STATION,31460.7,39096.1
14th Ave Landscape,0,0
2nd St Satellite,0,0
3rd St Satellite,0,0
47th Ave Maint,0,0
ADIN MAINTENANCE STATION,32583.6,24535.8
ALAMEDA MAINTENANCE STATION,91189,98700
ALCOSTA LANDSCAPE STATION,25692,23533.4
ALTADENA MAINTENANCE STATION,43933.2,54041.4
ALTAVILLE COMMAND TRAILER,513.7,649.4
ALTAVILLE MAINTENANCE STATION,54939.7,57735.1
ALTAVILLE OFFICE BUILDING,18345.3,18250.2
ALTURAS MAINTENANCE STATION,73920,84480
Antioch Bridge Toll Plaza,259577,235192
ANTIOCH MAINTENANCE STATION,55535.6,54623.2
Antioch Sub Yard Satellite,0,0
APPLE LANDSCAPE,31592,32629
ARTESIA MAINTENANCE STATION,8924,11984
AUBURN MAINTENANCE STATION,34086.4,55137.4
BAKERSFIELD EQ SUB-SHOP  2 (36-06-02),0,0
Bakersfield Maintenance Station,210720,180744.1
BANNING MAINTENANCE STATION,2,0
BARSTOW MAINTENANCE STATION,109734,117787
Bartle S/S,624,388.8
BATAVIA MAINTENANCE STATION,95187.1,95825.7
BECKWORTH MAINTENANCE STATION,36253.8,28407.6
BEECHERS CORNER MAINTENANCE STATION,45091.8,39485.6
BELLFLOWER MAINTENANCE STATION,40070.6,30935.1
BENICIA MAINTENANCE STATION,24728,20932.3
Big Cedar Springs Maint,14148.1,5720
Big Sur Maint,0,0
BIG SYCAMORE MAINTENANCE STATION,11813.4,0
BISHOP MAINTENANCE STATION,136554.6,160177.4
BLYTHE MAINTENANCE STATION,48848.4,46158.1
BODEGA BAY MAINTENANCE STATION,0,0
BODFISH MAINTENANCE STATION,39761,37056.7
BOGARD SANDHOUSE,4921.5,4049.1
Bolsa Chica,41315.6,41368.3
BOONVILLE MAINTENANCE STATION,21660.4,20360.9
Boulevard Maintenance Station,60240,52839.6
BRACUT MAINTENANCE STATION,0,0
BRAWLEY MAINTENANCE STATION,19010,20880
BREA MAINTENANCE STATION,39822.7,40140.6
BRIDGEPORT MAINTENANCE STATION,107052.1,80304.1
BRIDGEVILLE MAINTENANCE STATION,32393,32279.3
BUCKHORN SANDHOUSE,1326,102
BUELLTON MAINTENANCE STATION,34215.9,33482.6
BUENA VISTA MAINTENANCE STATION,19129,15442
BURBANK ELECTRICAL STATION,0,0
BURNEY JUNCTION SAND SALT STORAGE,1886.5,2686
BURNEY MAINTENANCE STATION,31046.4,18773
BURNT MILL MAINTENANCE STATION,103226,93018.6
CABBAGE PATCH MAINTENANCE STATION,131317.3,136216
CAJON MAINTENANCE STATION,182642.2,208568.7
Cajon Pass S/S,6949.4,3221.7
Caldecott Tunnel,0,0
CALISTOGA MAINTENANCE STATION,18472.1,13546.9
CAMBRIA MAINTENANCE STATION,34223.2,35605.8
Camino Del Rio Maintenance Station,10863,11585
Camino S/S,0,0
CAMP ANGELUS MAINTENANCE STATION,138731,112020
CAMP CONNELL MAINTENANCE STATION,142721.7,151772.8
CANBY SAND HOUSE,1485,783
CANYON DAM SAND/SALT STORAGE,162.7,553.3
Caples Lake Maint,0,0
Carlsbad Maintenance Station,63267,66960
Carquinez Toll Plaza Maint,959453.7,920518
CASTELLA SANDHOUSE,706.8,883.8
Castle Peak S/S,3406.7,4364.7
Castro Valley Maint,0,0
CEDAR PASS SANDHOUSE,6577.8,2107.8
Cedar Springs S/S,0,0
CENTRAL BANDINI MAINTENANCE STATION,414587.6,390619.5
Century/South Region Maint,80400,88480
CERRITOS MAINTENANCE STATION,44899.9,40914.8
CHESTER MAINTENANCE STATION,91955.1,91769.9
CHICO MAINTENANCE STATION,46677.4,50313.4
Chilao Maint,20660.6,33459.3
Chollas Maint,25948.8,20464.2
Chula Vista Maintenance Station,7810,8667.8
Cisco S/S,74462.3,32544.7
CLEARLAKE OAKS MAINTENANCE STATION,33121.2,84761
COALINGA YARD MAINTENANCE STATION,58132.4,58214.9
COARSEGOLD MAINTENANCE STATION,55612.9,45510.9
COLUSA MAINTENANCE STATION,50727.8,51159.8
CONWAY SUMMIT SAND STORAGE,0,0
CORONA MAINTENANCE STATION,46280.1,42326.2
COSTA MESA,62842.3,62587
COULTERVILLE MAINTENANCE STATION,26405.5,29864.6
CRESCENT CITY MAINTENANCE STATION,41719.8,40399.8
CRESTVIEW MAINTENANCE STATION,66669.8,32816.4
CUESTA GRADE CONSTRUCTION LABORATORY,4558.9,4367.2
CULVER CITY MAINTENANCE STATION,18478.4,22028.3
CUPERTINO MAINTENANCE STATION,27085.5,21009.5
CUYAMA MAINTENANCE STATION,26155.9,18536
D12 TMC,2114157.6,2275666.2
D3 TMC COMMUNICATIONS,1402943.9,1378487.4
Dawson Summit S/S,0,0
DEATH VALLEY MAINTENANCE STATION,26443.3,0
Deer Creek S/S,0,0
DELANO MAINTENANCE STATION,39487.5,50325.1
DELTA REGION MAINTENANCE STATION,94140.7,82749.1
Descanso Maintenance Station,46320,43039.8
DESERT CENTER MAINTENANCE STATION,51858.3,66698.1
DIAMOND BAR MAINTENANCE STATION,42609.6,29504.6
Dinsmore S/S,0,0
DISTRICT 01 ANNEX,14152,12893.9
