Building,2013,2014
005 DOT HEADQUARTERS OFFICE BUILDING,3.49E+07,3.51E+07
007 DISTRICT OFFICE,6.00E+07,3.70E+07
01 DISTRICT OFFICE,0,4578493.4
01 Materials Lab,0,0
01 Ukiah Equipment Sub-shop,1287404.7,1185564
02 DISTRICT OFFICE,6495584.5,6288433.7
02 Materials Lab,0,0
02 Redding Equipment Shop,0,0
02 Susanville Equipment Sub-shop,0,0
"03 DISTRICT OFFICE (old Complex, now demo'd, hold for history.)",0,0
03 Meyers Equipment Sub-shop,0,0
03 Truckee Equipment Sub-shop,0,0
04 DISTRICT OFFICE,3.16E+07,3.08E+07
04 Fairfield Equipment Sub-shop,532004.2,369347.9
04 Materials Lab,709377.2,593268.6
04 Oakland Equipment Sub-shop,0,0
04 San Francisco Equipment Sub-shop,0,0
04 San Jose Equipment Sub-shop,0,0
05 DISTRICT OFFICE,0,3199237.5
06 DISTRICT OFFICE,0,4086128.3
06 Materials Lab,0,0
07 Commerce Equipment Sub-shop,5595299.3,613260.3
07 DISTRICT LAB,0,0
07 Los Angeles Equipment Sub-shop,0,0
08 Barstow Equipment Sub-shop,502824.8,499534
08 DISTRICT OFFICE (SAN BERNARDINO GOV'T CENTER OFFICE BLDG),3.58E+07,3.55E+07
08 Ind Assurance Bldg,0,0
08 Inland Empire TMC (San Bernardino),7536962.7,9939828.2
08 Old Materials Lab,25657.6,0
08 Southern Region Lab,4421303.2,4083582
09 Bishop Equipment Shop,0,0
09 DISTRICT OFFICE,0,3621029.5
10 DISTRICT OFFICE,3197664.6,2777815.7
10 Lab,0,0
10 Stockton Equipment Shop,0,0
11 Archaeology Building,84954.7,71975.5
11 El Centro Sub-shop,137100,220838.2
11 Kearney Mesa Lab,0,0
11 Office (Old),0,0
11 San Diego Equipment Shop,0,623041.6
11 San Diego TMC,0,6871997.1
12 Orange Equipment Shop,5113.4,5104.6
12th Ave Hwy Maint Storage Satellite,1078.2,1087.6
12TH STREET MAINTENANCE STATION,283314.5,258147.6
14th Ave Landscape,0,0
2nd St Satellite,0,0
3rd St Satellite,0,0
47th Ave Maint,0,0
ADIN MAINTENANCE STATION,111175.2,83716.1
ALAMEDA MAINTENANCE STATION,401190.2,366364.4
ALCOSTA LANDSCAPE STATION,87661.1,80296
ALTADENA MAINTENANCE STATION,0,318956.1
ALTAVILLE COMMAND TRAILER,1752.6,2215.8
ALTAVILLE MAINTENANCE STATION,187454.4,196992.3
ALTAVILLE OFFICE BUILDING,62594,62269.5
ALTURAS MAINTENANCE STATION,252215,288245.8
Antioch Bridge Toll Plaza,0,1202297.5
ANTIOCH MAINTENANCE STATION,258237.6,229688.6
Antioch Sub Yard Satellite,0,0
APPLE LANDSCAPE,131929.4,132330.2
ARTESIA MAINTENANCE STATION,43472.2,43989.4
AUBURN MAINTENANCE STATION,0,877339.5
BAKERSFIELD EQ SUB-SHOP  2 (36-06-02),0,236369.7
Bakersfield Maintenance Station,1508331.6,1131523.5
BANNING MAINTENANCE STATION,6.8,0
BARSTOW MAINTENANCE STATION,0,1284141.1
Bartle S/S,2129.1,1326.6
BATAVIA MAINTENANCE STATION,0,636107.4
BECKWORTH MAINTENANCE STATION,123698,96926.7
BEECHERS CORNER MAINTENANCE STATION,595417.4,527903.8
BELLFLOWER MAINTENANCE STATION,235894.3,343650.7
BENICIA MAINTENANCE STATION,111439.6,96749.3
Big Cedar Springs Maint,48273.2,19516.7
Big Sur Maint,0,0
BIG SYCAMORE MAINTENANCE STATION,40307.2,0
BISHOP MAINTENANCE STATION,0,776449.7
BLYTHE MAINTENANCE STATION,214976.6,183491.4
BODEGA BAY MAINTENANCE STATION,0,0
BODFISH MAINTENANCE STATION,135664.5,126437.6
BOGARD SANDHOUSE,16792.3,13815.5
Bolsa Chica,318748.8,176968.6
BOONVILLE MAINTENANCE STATION,73905.2,69471.3
Boulevard Maintenance Station,205538.9,180288.7
BRACUT MAINTENANCE STATION,0,1179213.4
BRAWLEY MAINTENANCE STATION,80997.6,83042.6
BREA MAINTENANCE STATION,153468.7,153059.9
BRIDGEPORT MAINTENANCE STATION,365261.9,273997.5
BRIDGEVILLE MAINTENANCE STATION,110524.9,110137.1
BUCKHORN SANDHOUSE,4524.3,348
BUELLTON MAINTENANCE STATION,0,214639.5
BUENA VISTA MAINTENANCE STATION,95341.5,79188.1
BURBANK ELECTRICAL STATION,0,0
BURNEY JUNCTION SAND SALT STORAGE,6436.7,9164.6
BURNEY MAINTENANCE STATION,0,774872.2
BURNT MILL MAINTENANCE STATION,946228.2,580279.5
CABBAGE PATCH MAINTENANCE STATION,448054.7,464769
CAJON MAINTENANCE STATION,623175.3,711636.5
Cajon Pass S/S,23711.3,10992.4
Caldecott Tunnel,0,0
CALISTOGA MAINTENANCE STATION,63026.8,46222.1
CAMBRIA MAINTENANCE STATION,273116.7,216986.9
Camino Del Rio Maintenance Station,79694.6,71328
Camino S/S,0,0
CAMP ANGELUS MAINTENANCE STATION,473350.2,382212.1
CAMP CONNELL MAINTENANCE STATION,486966.4,517849
CANBY SAND HOUSE,5066.8,2671.6
CANYON DAM SAND/SALT STORAGE,555.2,1887.7
Caples Lake Maint,0,0
Carlsbad Maintenance Station,301823.9,283562.2
Carquinez Toll Plaza Maint,0,3526618.6
CASTELLA SANDHOUSE,2411.6,3015.5
Castle Peak S/S,11623.8,14892.4
Castro Valley Maint,0,0
CEDAR PASS SANDHOUSE,22443.5,7191.8
Cedar Springs S/S,0,0
CENTRAL BANDINI MAINTENANCE STATION,0,1619532.3
Century/South Region Maint,592272.8,418493.8
CERRITOS MAINTENANCE STATION,158934.9,145401.1
CHESTER MAINTENANCE STATION,313750.9,313118.8
CHICO MAINTENANCE STATION,0,1459725.6
Chilao Maint,0,168346.5
Chollas Maint,88537.3,69823.8
Chula Vista Maintenance Station,157693.2,112098.7
Cisco S/S,254065.3,111042.5
CLEARLAKE OAKS MAINTENANCE STATION,113009.6,289204.5
COALINGA YARD MAINTENANCE STATION,198347.7,198629.1
COARSEGOLD MAINTENANCE STATION,189751.3,155283.2
