Building,2013,2014
005 DOT HEADQUARTERS OFFICE BUILDING,3824.6,4890.4
007 DISTRICT OFFICE,12763.3,16238.7
01 DISTRICT OFFICE,555.1,253.8
01 Materials Lab,42.6,33.9
01 Ukiah Equipment Sub-shop,123.1,108.2
02 DISTRICT OFFICE,2070.6,1147.3
02 Materials Lab,0,0
02 Redding Equipment Shop,0,0
02 Susanville Equipment Sub-shop,0,0
"03 DISTRICT OFFICE (old Complex, now demo'd, hold for history.)",0,0
03 Meyers Equipment Sub-shop,0,0
03 Truckee Equipment Sub-shop,0,0
04 DISTRICT OFFICE,7847.8,7519.4
04 Fairfield Equipment Sub-shop,0,0
04 Materials Lab,145.9,26
04 Oakland Equipment Sub-shop,0,0
04 San Francisco Equipment Sub-shop,0,0
04 San Jose Equipment Sub-shop,0,0
05 DISTRICT OFFICE,1427.3,1096.2
06 DISTRICT OFFICE,4728.4,2284.2
06 Materials Lab,0,0
07 Commerce Equipment Sub-shop,0,0
07 DISTRICT LAB,0,0
07 Los Angeles Equipment Sub-shop,0,0
08 Barstow Equipment Sub-shop,0,0
08 DISTRICT OFFICE (SAN BERNARDINO GOV'T CENTER OFFICE BLDG),20203.4,19039.6
08 Ind Assurance Bldg,0,0
08 Inland Empire TMC (San Bernardino),0,0
08 Old Materials Lab,23.2,216.2
08 Southern Region Lab,4996.2,2020.7
09 Bishop Equipment Shop,175.5,176
09 DISTRICT OFFICE,676,677.8
10 DISTRICT OFFICE,5048.6,2953.3
10 Lab,0,0
10 Stockton Equipment Shop,0,0
11 Archaeology Building,0,0
11 El Centro Sub-shop,89,69.4
11 Kearney Mesa Lab,0,0
11 Office (Old),0,0
11 San Diego Equipment Shop,0,0
11 San Diego TMC,823.6,839.8
12 Orange Equipment Shop,0,0
12th Ave Hwy Maint Storage Satellite,0,0
12TH STREET MAINTENANCE STATION,1226.1,616
14th Ave Landscape,0,0
2nd St Satellite,0,0
3rd St Satellite,23.4,25.3
47th Ave Maint,0,0
ADIN MAINTENANCE STATION,128.7,129
ALAMEDA MAINTENANCE STATION,148.1,320.3
ALCOSTA LANDSCAPE STATION,861.8,302.3
ALTADENA MAINTENANCE STATION,566.3,773.4
ALTAVILLE COMMAND TRAILER,0,0
ALTAVILLE MAINTENANCE STATION,582,381.7
ALTAVILLE OFFICE BUILDING,0,0
ALTURAS MAINTENANCE STATION,211,82.2
Antioch Bridge Toll Plaza,99.5,80.6
ANTIOCH MAINTENANCE STATION,518.4,379.6
Antioch Sub Yard Satellite,0,0
APPLE LANDSCAPE,2067.6,2247.1
ARTESIA MAINTENANCE STATION,65.1,81.9
AUBURN MAINTENANCE STATION,309.7,230.2
BAKERSFIELD EQ SUB-SHOP  2 (36-06-02),0,0
Bakersfield Maintenance Station,475.8,3379
BANNING MAINTENANCE STATION,2491,634.1
BARSTOW MAINTENANCE STATION,416.7,671.7
Bartle S/S,0,0
BATAVIA MAINTENANCE STATION,814.6,1385.7
BECKWORTH MAINTENANCE STATION,128.7,129
BEECHERS CORNER MAINTENANCE STATION,81.9,82.1
BELLFLOWER MAINTENANCE STATION,74.1,77.3
BENICIA MAINTENANCE STATION,81.9,82.1
Big Cedar Springs Maint,23.4,23.5
Big Sur Maint,46.8,46.9
BIG SYCAMORE MAINTENANCE STATION,140.4,140.8
BISHOP MAINTENANCE STATION,292.5,296
BLYTHE MAINTENANCE STATION,440,156.3
BODEGA BAY MAINTENANCE STATION,0,0
BODFISH MAINTENANCE STATION,39.6,20.2
BOGARD SANDHOUSE,0,0
Bolsa Chica,163.8,209.4
BOONVILLE MAINTENANCE STATION,140.4,140.8
Boulevard Maintenance Station,175.5,176
BRACUT MAINTENANCE STATION,84.5,184.8
BRAWLEY MAINTENANCE STATION,234,234.7
BREA MAINTENANCE STATION,641.1,508.3
BRIDGEPORT MAINTENANCE STATION,128.7,98.1
BRIDGEVILLE MAINTENANCE STATION,140.4,140.8
BUCKHORN SANDHOUSE,0,0
BUELLTON MAINTENANCE STATION,162.3,178.4
BUENA VISTA MAINTENANCE STATION,75.7,34.6
BURBANK ELECTRICAL STATION,0,0
BURNEY JUNCTION SAND SALT STORAGE,0,0
BURNEY MAINTENANCE STATION,1387.5,1532.3
BURNT MILL MAINTENANCE STATION,81.9,82.4
CABBAGE PATCH MAINTENANCE STATION,110,110.3
CAJON MAINTENANCE STATION,234,234.6
Cajon Pass S/S,0,0
Caldecott Tunnel,9,0
CALISTOGA MAINTENANCE STATION,65.8,10.5
CAMBRIA MAINTENANCE STATION,46.8,46.9
Camino Del Rio Maintenance Station,439.9,375
Camino S/S,0,0
CAMP ANGELUS MAINTENANCE STATION,81.9,82.1
CAMP CONNELL MAINTENANCE STATION,180.1,123.4
CANBY SAND HOUSE,0,0
CANYON DAM SAND/SALT STORAGE,0,0
Caples Lake Maint,81.9,82.1
Carlsbad Maintenance Station,160.1,200.2
Carquinez Toll Plaza Maint,1947.2,1471.5
CASTELLA SANDHOUSE,0,0
Castle Peak S/S,0,0
Castro Valley Maint,0,0
CEDAR PASS SANDHOUSE,0,0
Cedar Springs S/S,0,0
CENTRAL BANDINI MAINTENANCE STATION,480.2,609.9
Century/South Region Maint,240.1,0
CERRITOS MAINTENANCE STATION,199,99.2
CHESTER MAINTENANCE STATION,1500.9,585.1
CHICO MAINTENANCE STATION,1667.4,1131.5
Chilao Maint,140.4,140.8
Chollas Maint,12.7,21.7
Chula Vista Maintenance Station,339.6,361.4
Cisco S/S,0,0
CLEARLAKE OAKS MAINTENANCE STATION,177.3,669.9
COALINGA YARD MAINTENANCE STATION,1844.6,1334.2
COARSEGOLD MAINTENANCE STATION,128.7,129
COLUSA MAINTENANCE STATION,181,206.7
CONWAY SUMMIT SAND STORAGE,0,0
CORONA MAINTENANCE STATION,981.3,1534.4
COSTA MESA,702.4,440.6
COULTERVILLE MAINTENANCE STATION,8,8
CRESCENT CITY MAINTENANCE STATION,167.1,149.7
CRESTVIEW MAINTENANCE STATION,46.8,46.9
CUESTA GRADE CONSTRUCTION LABORATORY,10.4,10.4
CULVER CITY MAINTENANCE STATION,175,81.9
CUPERTINO MAINTENANCE STATION,401,316.6
CUYAMA MAINTENANCE STATION,23.4,23.5
D12 TMC,506.4,605.3
D3 TMC COMMUNICATIONS,9810.7,2581.6
Dawson Summit S/S,0,0
DEATH VALLEY MAINTENANCE STATION,9033.5,18.7
Deer Creek S/S,0,0
DELANO MAINTENANCE STATION,481.6,537.7
DELTA REGION MAINTENANCE STATION,222.2,173.2
Descanso Maintenance Station,175.5,176
DESERT CENTER MAINTENANCE STATION,266.8,267.5
DIAMOND BAR MAINTENANCE STATION,175.8,163.6
Dinsmore S/S,0,0
DISTRICT 01 ANNEX,80.8,66.5
DISTRICT 03 OFFICE - DMV ANNEX,79.3,92.8
DIXON MAINTENANCE STATION,46.8,46.9
DORAN MAINTENANCE STATION,46.6,77.2
DORRIS SANDHOUSE,0,0
DOWNIEVILLE MAINTENANCE STATION,152.1,152.5
Dry Creek Maint,36.7,18.9
EAST BAY REGION MAINTENANCE STATION,1383.1,1372.8
East Los Angeles Maint,187.8,201.4
ECHO SUMMIT CONSTRUCTION LABORATORY,0.6,0.6
EL CENTRO MAINTENANCE STATION,113,191.1
El Dorado S/S,0,0
ELK GROVE MAINTENANCE STATION,495.2,267.8
ELSINORE MAINTENANCE STATION,241.6,309
Emeline Landscape Satellite,0,0
Empire St Satellite,0,0
EQUIPMENT SHOP 01,184,99.7
EQUIPMENT SHOP 03,208,415.9
EQUIPMENT SHOP 04,0,0
EQUIPMENT SHOP 05 (2501),89,78.7
EQUIPMENT SHOP 06 (2601),728.6,5.3
EQUIPMENT SHOP 07 (2701),568.5,189.8
EQUIPMENT SHOP 08 (2801),484.7,447
