Building,2013,2014
001 State Capitol Building,8149327.1,7567631.1
002 Jesse Unruh Building (OB 1 Building),1705811.8,1588597.7
003 Library-Courts Building,0,1915510.9
004 LEGISLATIVE OFFICE,2923246.5,2883160.7
006 AGRICULTURE BUILDING,918354.9,1026540.8
008 Energy Commission Building,1636910.9,1442515.8
009 OBG/CADA BUILDING,492843.9,519863.9
010 Dept. of Rehabilitation,1277822.7,1357390.7
011 Bateson Building,3040283.3,3077862.6
013 EDD Solar Building,2703319.7,2887374.6
016 Paul Bonderson Building,2178566.6,2301931.8
017 State Printing Plant,5433659.4,5964388.4
018 Resources Building,11076345,1.12E+07
021 State Personnel Building,622599.9,619729
025 EDD BUILDING,7251491.2,7099774.1
028  BOARD OF EQUALIZATION BUILDING,9014439.7,8938762.9
030 ATTORNEY GENERAL BUILDING,4776501.5,4827375.5
031 ATTORNEY GENERAL CHILD CARE CENTER,46495,42518
036 SECRETARY OF STATE BUILDING (EAST / WEST),6928421.1,7022027.2
038 LIBRARY  and  COURTS II ANNEX BUILDING,1386250.8,1479880.7
039  and  045 OFFICE BUILDING 8  and  OFFICE BUILDING 9,5708277.3,5630902.5
049 EDUCATION BUILDING (EAST END #225),4538777.7,4560736.5
050 LEGISLATIVE GARAGE - LOT 50,239031,234808
051 THRU 054 EAST END COMPLEX,1.54E+07,1.51E+07
057 CalNet Bldg,869980.9,859502.9
074 SACRAMENTO STATE GARAGE FLEET LOT 2,360575,322687.9
075 DEPARTMENT OF JUSTICE BUILDING,9545532.7,9219401.6
076 ARCHIVES PARKING SITE ? FLEET LOT 55,359146,356610
078 BLOCK 224 PARKING FACILITY - LOT 14,211768,215150
084 FRANCHISE TAX BOARD COMPLEX BUILDINGS,2.49E+07,2.51E+07
091 BLUE ANCHOR BUILDING,244070,220347
095 Central Plant,1.22E+07,1.26E+07
106 STATE RECORD CENTER  and  WHSE,181253,187729.3
120 R Street Warehouse,30478,32903
330 California Towers (Riverside State B,1857393,1869275.3
402 San Francisco Civic Center Building,1.04E+07,1.01E+07
418 Public Utilities Commission Building,2798754.7,2850979.5
460 REDDING STATE BUILDING,390402.7,302932.9
461 RED BLUFF STATE BUILDING,313428,337547.5
470 San Jose State Building,1389999.3,1399861.2
480 Santa Rosa State Building,729497.8,749168.8
509 Ronald Reagan State Building,9341609.4,1.01E+07
512 Junipero Serra (Broadway State Build,5205080.8,5326655.1
520 Santa Ana State Building,1448828.7,1461993.6
530 Van Nuys State Building,1669087.4,1739950.3
602 Elihu Harris Building (Oakland Building),6900650.9,7018030.1
701 Fresno State Building,1274520.2,1213736.5
753 Fresno Water Resources Building,575157.8,499128.5
801 San Diego State Building,1342536.1,1612444.2
803 SAN DIEGO STATE GARAGE,0,0
850 Mission Valley Building,2039706.3,2155822.4
860-Cal-Trans-District 11,3407113.6,3454499.5
901 STOCKTON STATE BUILDING,645626.8,650724.3
