year,notCertified,certified,silver,gold,platinum
ARB,1,0,0,0,0
CAAM,1,0,0,0,0
CADA,46,0,0,0,0
CAL EXPO,1,0,0,0,0
CAL FIRE,312,1,1,0,0
CAL OES,1,0,0,0,0
CAL PERS,2,0,0,1,1
CAL PIA,2,0,0,0,0
CAL STRS,0,0,0,0,1
CAL TECH,0,0,0,1,0
CAL TRANS,441,0,0,2,0
CCC,0,0,2,0,0
CDCR,36,0,3,4,0
CDE,3,0,0,1,0
CDFA,23,0,0,0,0
CDFW,91,0,0,0,0
CDPH,2,0,1,0,0
CDVA,7,0,0,3,0
CHP,106,0,1,0,0
CLC,4,0,0,1,0
CMD,103,0,0,0,0
CSC,5,0,0,0,0
DAA,48,0,0,0,0
DCA,2,0,0,0,0
DDS,6,0,0,1,0
DGS,35,4,6,6,2
DMV,92,0,1,1,0
DOC,1,0,0,0,0
DOJ,8,0,0,0,0
DOR,1,0,0,0,0
DPR,208,0,0,0,0
DSH,0,0,0,1,0
DWR,28,0,0,0,0
EDD,29,0,0,0,0
HCD,24,0,0,0,0
SLC,1,0,0,0,0
SMMC,1,0,0,0,0
