ZIP,SiteEnergyUse2013,GridPurchase2013,WaterUse2013,SiteEnergyUse2014,GridPurchase2014,WaterUse2014
0,203869.9,51858.3,266.8,242374.1,66698.1,267.5
7981,92.3,0,0,91.7,0,0
90004,894836.5,0,0,483766.6,0,0
90007,4936344.1,1249071,868.5,5056331.4,1400630.7,961.1
90012,60032090.2,9710399.1,22798.5,36968025.6,8241038.1,16238.7
90013,66971066.2,14546690.2,14956.8,68480227.5,15451276,15325.7
90015,1285898.6,360412.9,2154.1,1360986.5,372626.6,373.1
90016,131929.4,31592,2067.6,132330.2,32629,2247.1
90021,401190.2,91189,148.1,366364.4,98700,320.3
90022,1686585.7,70048.5,430.2,265142,61208.1,333.1
90025,1152918.2,191788.1,895.3,877777,170280.5,594.1
90026,4894291,770937.2,301.7,3761016.8,763696.1,373.7
90031,1602797.1,392759.9,857.3,1612406.5,397158.9,842.3
90032,3892392.1,530765.5,2831.8,4665044.9,619958.4,3385.7
90037,49727377.6,12164761.5,47061.8,49723411.4,12470698.5,40920.3
90038,715534.1,189840,884.4,693940.5,187380,505.7
90039,446847.4,104967,1211.1,386595.2,100702,1684.1
90040,5595299.3,507524.2,480.2,2232792.6,494036.9,609.9
90041,20685391,4459666.1,1408.6,20796581,4299999.8,1682.4
90045,659373.4,56280,56.9,370452.8,74400,121.9
90049,80368443.6,7588883.5,18049.3,87693459.5,8806414.7,11049.9
90056,0,0,72.8,0,0,72.4
90064,961768.7,82693,71.1,420587.3,98355,324.1
90066,1257526.8,368560,232.7,1251914,366915,228.9
90201,1087909.3,263396.6,857.3,974459.4,274637.3,831.8
90221,909409.5,236667.5,857.3,872779.5,227778.2,839.3
90230,948441,238957.8,1286.6,954260,247210,755.9
90232,68077.3,19923,0,55586.5,19715.3,0
90241,266100.6,70579.2,243.1,285712.9,81129.2,211.3
90245,592272.8,80400,240.1,418493.8,88480,0
90248,43472.2,8924,65.1,43989.4,11984,81.9
90249,347825.4,42350.9,76.4,208932.2,42863.5,60.5
90250,931423.3,231249.5,857.3,0,126657.4,844.6
90262,95276,3680.7,0,180301.2,3345.5,0
90265,507659.4,75677.3,16986.6,433878.4,73487.3,2770.1
90266,338122.6,50043.6,1123.4,247537.7,46913.6,1782.8
90272,0,0,15605.5,0,0,0
90290,0,0,0,25358,7432,0
90302,716579.6,145882.9,791.4,579232.8,142463.2,784.1
90304,1942355.3,564815.1,709.5,1906857.4,554318.8,296.2
90404,879347.9,233132.4,541.1,0,211685.4,507.2
90501,2151933.7,466307.9,1084.2,816938.6,483383.1,973.1
90502,790705.3,216564.2,964.2,794139.2,232179.4,846.3
90504,48775.5,6052.9,33.7,45401.1,8148,46.2
90601,658979,87508.5,923.1,447510.8,85319.7,668.9
90605,923148.7,228267.5,857.3,0,208095.1,796.7
90606,0,0,4081.4,108857.9,31904.4,0
90640,234006.7,24588.2,445.5,159555.3,26838.3,436.4
90650,1922781.5,9473009.1,1021.3,1487661.5,9924975.2,173.3
90670,612267,174502.4,185.5,635792.5,181600.8,210.2
90680,183883.2,47114.5,261.8,171002.9,45487.4,268.3
90703,158934.9,44899.9,199,145401.1,40914.8,99.2
90706,1182186.8,285525.6,1128.9,1394086.4,306942,983.2
90731,1627049.8,266661,1405.5,1483252,275295,1613
90740,318748.8,41315.6,163.8,176968.6,41368.3,209.4
90806,119022.2,34883.4,959,125289,36720.1,547.8
90810,0,101303.7,713.6,712226.3,91781.5,844.4
90813,333381.1,42392.6,662.4,246211.8,50649.6,710.2
90815,1105872.3,249288.5,1708.6,919332.8,267184.3,1036.1
90822,3450020.7,683070.4,3732,1860868.8,458765.3,1979.3
91001,548157,204588.8,1173.6,877006.3,217596.5,1220.5
91011,0,20660.6,140.4,168346.5,33459.3,140.8
91016,0,65842.5,310.4,355760.2,64359.2,362.3
91106,1564484.4,325487.3,211,1330994.9,331962.6,254.4
91107,632468.1,174111.4,340.4,0,177347.2,317.9
91201,838821.4,201120,648.2,833988.9,200495,615.6
91203,28800,0,46.6,17400,0,77.2
91205,650947.1,76208.3,563.3,532960,71041.4,422.4
91301,0,0,0,0,0,0
91302,0,0,0,0,0,0
91306,945942.8,277240,1714.5,1143156.4,335039.9,1679.4
91321,466145.8,143374.4,862.1,833058.6,151217.1,839.6
91331,875017.5,224800,857.3,758975.6,211200,846
91342,2195544.5,290457.6,1216.2,1997760.3,390570,528.9
91344,437496.1,94532,314.9,438754.8,108662,559.2
91345,16097.1,4717.8,26.2,15323.3,4491,700
91350,19999,5861.4,0,10570.4,3098,0
91355,1277639.1,344947.1,839.3,1236171.7,336363.3,714.3
91356,0,66714,93.5,195726.8,33645,434.8
91362,828605.1,201642.7,541.1,0,212963.8,418.9
91367,759729.4,212074.7,1051,727276.3,207975.3,1574.4
91384,1264253.3,295410,1125.8,1178374.1,288398.8,958.9
91401,6726365,1669087.4,2565.1,6321281.6,1739950.3,2107.8
91405,891545.7,234480,857.3,1093997.5,294460,843.8
91436,0,0,4.2,0,0,0
91502,0,0,0,0,0,0
91504,95341.5,19129,75.7,79188.1,15442,34.6
91505,860995.1,113183,1014.2,0,151390.4,621.4
91602,245501.9,52509,157.8,224134.7,49805,340.5
91702,5408790.9,1074320.8,562,4677239.8,1052557.8,375.7
91706,718815.7,203726.7,220,771067.2,211596.5,157.4
91709,0,0,456.2,0,0,68
91710,410651099.7,12880747.8,883682.4,134764169.1,10698414,747033
91720,0,0,5.8,0,0,5.8
91730,860620.8,220116,803.4,777436,214823.8,1247
91731,8950012.2,2089580.5,526.3,7559077.4,1864371.9,354.1
91754,1444335.8,387192.3,1670.4,1344610.8,365310.6,1535.8
91755,8384.2,2457.3,1253,7680.1,2250.9,1019.7
91760,127901221.9,7522192.6,223949,119608152.4,7334803.8,148383.9
91761,166727.7,17868.2,654.5,130188.9,18812.7,502.6
91764,589539,132119.1,1541.3,559466.1,122984.5,1045.9
91766,1607969.1,242842.8,2992.6,421814.4,256653.5,2577.4
91768,135711249.9,9987999.1,43804.5,118934393,8290999,0
91770,273163.3,74815.9,0,277619.6,78640,0
91789,190472.2,42609.6,175.8,110969.6,29504.6,163.6
91790,2033111.9,410202.7,857.3,0,481637.1,835.6
91901,158043.8,46320,175.5,146851.8,43039.8,176
91905,205538.9,77787.4,278.5,180288.7,68999.8,268.2
91906,0,49899.7,80.1,0,52435.6,71
91910,267978.1,10478.8,967.2,1022913.3,248472.8,995.7
91911,23254575.3,3371157.7,27102.9,21938652.9,3575001.1,26153
91916,0,0,1674,0,0,0
91917,0,27419.6,80.1,0,29608.4,71
91935,249187.2,100665.6,3896.8,255802.4,98051.4,3881.4
91950,456986.8,109217.6,270.4,475405.1,118844.2,323.1
91963,0,21397.5,58.6,0,24894.8,58.6
92004,0,0,4343.3,0,0,3006.7
92007,0,0,8995.3,603759.5,147808.9,0
92008,0,0,7236.7,754.5,221.1,0
92011,301823.9,63267,160.1,283562.2,66960,200.2
92014,0,9536038.1,43185.3,55933815.1,11270828.4,0
92019,1341857.7,406307.9,188.8,1018158.5,232784.5,167
92020,385626.7,45938.7,94.8,280083.4,68193.1,472.3
92021,1481629.9,419476.6,1109.2,1727572.6,453030.2,1070.9
92025,488578.7,61309,165,322491,56779.9,206
92027,0,0,0,0,0,0
92028,0,27913.3,1222.1,0,64706.8,1071.4
92029,135132,25913.7,316.1,272016.3,53884.2,229.5
92036,118776.9,61537.1,135,120141.6,58720.4,124.2
92037,0,0,1809.5,0,21358.7,2602.3
